source,trading_pair,spread,buy_order_slippage,sell_order_slippage
Binance,BTCUSDT,2.3413808140609544e-05,-2.3413808140609544e-05,0.0
Binance,AVAXUSDT,0.024612355402424603,0.0,0.024618414574114022
Binance,BONKUSDT,0.03372681281618284,0.0,0.03373819163292244
Binance,TIAUSDT,0.022468207486407585,0.0,0.02247325682437984
Binance,INJUSDT,0.022776819705207594,-0.026030651091657562,-0.003254572674600239
Binance,SOLUSDT,0.012792631444294635,-0.012792631444294635,0.0
Binance,XRPUSDT,0.015915963711600985,0.0,0.015918497293853705
Binance,BTCUSDC,2.3414000014426092e-05,-2.3414000014426092e-05,0.0
Binance,ETHUSDC,0.003088530521286989,0.0172075271901135,0.020296684580698575
Binance,ADAUSDT,0.015718327569944828,0.0,0.015720798616567992
Binance,JTOUSDT,0.01815431164902808,-0.015128593040852253,0.0030262680063010243
Binance,MATICUSDT,0.011542012927053208,0.0,0.0115433452614555
Binance,LINKUSDT,0.006665777896288642,0.0066657778962768005,0.013332444503704206
Binance,DOGEUSDT,0.010451505016718356,0.0,0.010452597470467359
Binance,ETHUSDT,0.00044122837981902036,-0.00044122837981902036,0.0
Binance,RUNEUSDT,0.016716817118026313,-0.016716817118026313,0.0
Binance,DOTUSDT,0.013738150844900866,-0.013738150844900866,0.0
Binance,ATOMUSDT,0.00887390185464057,0.0,0.008874689385866575
Binance,FETUSDT,0.027438606118806146,-0.013719303059403073,0.013723068478110195
Binance,ETHBTC,0.01883593897155043,-0.01883593897155043,0.0
